outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
True,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,111,37904.87,0,0,1
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7,5716.5,0,1,0
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,10,10951.92,0,1,0
False,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,33,25848.36,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,6,1803.39,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,85.900002,1,0,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,139.9,1,0,0
True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,24,22448.79,0,1,0
False,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,79,53975.49,0,1,0
True,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,60,15039.24,1,0,0
True,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,129,39826.0,1,0,0
True,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,145,83375.31,0,0,1
False,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,58,41522.87,0,1,0
True,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,235,66946.87,1,0,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,46,111082.27,0,1,0
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,181,179090.46,0,1,0
True,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13,15301.63,0,1,0
True,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,96,37993.68,0,0,1
True,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,266,156493.09,0,0,1
False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,168,50250.98,1,0,0
True,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,923.6,0,0,1
True,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,305,259785.12,0,1,0
